# sec(z), Tsys/Tatm, Tr, fit
2.50784 0.14168 24.45735 0.16011
2.51795 0.12373 19.01052 0.16033
2.52815 0.17583 34.57924 0.16055
2.53845 0.12621 19.63101 0.16077
2.54883 0.08744 7.93807 0.16100
2.55930 0.16333 30.64291 0.16123
2.56988 0.12213 18.21906 0.16146
2.58054 0.18274 36.33757 0.16169
2.59130 0.15983 29.40154 0.16192
2.60217 0.18355 36.45066 0.16216
2.61313 0.19747 40.56252 0.16240
2.62419 0.09075 8.48030 0.16264
2.63535 0.16014 29.22953 0.16288
2.64662 0.15581 27.86184 0.16313
2.65799 0.05083 -3.69990 0.16338
2.66947 0.17394 33.16421 0.16363
2.68105 0.18809 37.34162 0.16388
2.69275 0.10124 11.21618 0.16413
2.70455 0.08632 6.66723 0.16439
2.71647 0.16390 29.87041 0.16465
2.72850 0.17694 33.70987 0.16491
2.74065 0.16465 29.95139 0.16518
2.75292 0.15707 27.60287 0.16544
2.76530 0.18217 35.05825 0.16571
2.77780 0.15563 27.02168 0.16599
2.79043 0.12732 18.45394 0.16626
2.80318 0.13234 19.88335 0.16654
2.81605 0.14498 23.59715 0.16682
2.82906 0.19218 37.68039 0.16710
2.84219 0.17365 32.04125 0.16739
2.85545 0.16647 29.80829 0.16768
2.86885 0.21138 43.20231 0.16797
2.88238 0.16260 28.48458 0.16826
2.89605 0.13606 20.44048 0.16856
2.90986 0.16718 29.69407 0.16886
2.92380 0.24087 51.71834 0.16917
2.93790 0.16988 30.33534 0.16947
2.95213 0.15749 26.53398 0.16978
2.96652 0.18080 33.44160 0.17010
2.98106 0.18151 33.56779 0.17041
2.99574 0.21160 42.50692 0.17073
3.01059 0.19278 36.76938 0.17106
3.02559 0.16796 29.23311 0.17138
3.04075 0.13305 18.67172 0.17171
3.05607 0.17549 31.30947 0.17205
3.07155 0.16558 28.24579 0.17238
3.08721 0.17249 30.22262 0.17272
3.10303 0.16416 27.62875 0.17307
3.11903 0.14940 23.10730 0.17342
3.13520 0.16565 27.88440 0.17377
3.15155 0.18657 34.06292 0.17412
3.16808 0.16937 28.80371 0.17448
3.18479 0.20008 37.91530 0.17485
3.20169 0.17876 31.41788 0.17522
3.21878 0.15584 24.43899 0.17559
3.23607 0.20825 40.05834 0.17597
3.25355 0.19831 36.97308 0.17635
3.27123 0.22304 44.28400 0.17673
3.28912 0.17734 30.46597 0.17712
3.30721 0.19113 34.49661 0.17751
3.32551 0.17309 28.97409 0.17791
3.34403 0.09265 4.73170 0.17832
3.36276 0.15619 23.68103 0.17872
3.38171 0.14167 19.21214 0.17914
3.40089 0.18302 31.50140 0.17955
3.42030 0.15289 22.34605 0.17998
3.43995 0.15619 23.21830 0.18041
3.45983 0.18839 32.75738 0.18084
3.47995 0.20043 36.25032 0.18128
3.50032 0.11394 10.18006 0.18172
3.52094 0.21770 41.18491 0.18217
3.54181 0.13618 16.60424 0.18262
3.56294 0.22632 43.51901 0.18308
3.58434 0.21002 38.50082 0.18355
3.60601 0.20378 36.49728 0.18402
3.62796 0.17425 27.50706 0.18450
3.65018 0.18377 30.23018 0.18498
3.67269 0.19216 32.61337 0.18547
3.69549 0.13479 15.26390 0.18597
3.71858 0.17836 28.19528 0.18647
3.74198 0.18204 29.15867 0.18698
3.76568 0.23384 44.55780 0.18750
3.78970 0.18522 29.82660 0.18802
3.81404 0.19802 33.52314 0.18855
3.83871 0.23802 45.37415 0.18909
3.86370 0.19172 31.33522 0.18963
3.88904 0.20680 35.70570 0.19019
3.91473 0.17640 26.43186 0.19074
3.94076 0.19818 32.81086 0.19131
3.96716 0.14337 16.20893 0.19189
3.99393 0.17407 25.25689 0.19247
4.02107 0.19273 30.69165 0.19306
4.04860 0.20957 35.57930 0.19366
4.07652 0.18008 26.56503 0.19427
4.10484 0.25520 48.93168 0.19488
4.13357 0.24159 44.67669 0.19551
4.16271 0.18484 27.47682 0.19614
4.19228 0.16333 20.84397 0.19679
4.22229 0.14348 14.70945 0.19744
4.25275 0.23562 42.17050 0.19811
4.28366 0.22207 37.91902 0.19878
4.31503 0.21233 34.80800 0.19946
4.34689 0.14343 13.94816 0.20016
4.37923 0.20921 33.48801 0.20086
4.41206 0.16635 20.43291 0.20157
4.44541 0.16388 19.49193 0.20230
4.47928 0.17452 22.48043 0.20304
4.51368 0.24202 42.52427 0.20379
4.54863 0.19606 28.52762 0.20455
4.58414 0.16687 19.55472 0.20532
4.62023 0.22679 37.31561 0.20611
4.65690 0.20118 29.41297 0.20691
4.69417 0.15612 15.66995 0.20772
4.73205 0.17477 21.03818 0.20854
4.77057 0.16223 17.04582 0.20938
4.80973 0.19582 26.88908 0.21023
4.84956 0.18332 22.89785 0.21110
4.89007 0.21561 32.34150 0.21198
4.93128 0.25404 43.62400 0.21288
4.97320 0.19467 25.56074 0.21379
5.01585 0.26956 47.77276 0.21472
5.05926 0.13957 8.51675 0.21567
5.10344 0.21205 29.99584 0.21663
5.14842 0.16156 14.57862 0.21761
5.19421 0.21362 29.91941 0.21861
5.24084 0.18938 22.36894 0.21962
5.28833 0.20852 27.82678 0.22066
5.33671 0.24879 39.61718 0.22171
5.38600 0.22908 33.40783 0.22278
5.43622 0.23888 36.04662 0.22388
5.48740 0.18250 18.82525 0.22499
5.53958 0.21777 29.09317 0.22613
5.59277 0.19460 21.82308 0.22729
5.64701 0.20030 23.20645 0.22847
5.70234 0.23518 33.33859 0.22967
